Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
11;24039;"Food Chemistry";journal;"18737072, 03088146";"Elsevier Ltd";Yes;No;1,952;Q1;348;3647;8427;174984;96642;8404;11,26;47,98;47,52;4;378;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Analytical Chemistry (Q1); Food Science (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Chemistry; Medicine"
12;21100370190;"Current Opinion in Food Science";journal;"22147993";"Elsevier Ltd";No;No;1,825;Q1;96;90;426;4459;4600;401;9,11;49,54;47,93;0;37;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2025";"Applied Microbiology and Biotechnology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Immunology and Microbiology"
13;23180;"Food Research International";journal;"09639969, 18737145";"Elsevier Ltd";No;No;1,698;Q1;231;1457;3449;89902;32453;3439;8,69;61,70;48,05;3;246;United Kingdom;Western Europe;"Elsevier Ltd";"1992-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
14;21100285075;"Food Packaging and Shelf Life";journal;"22142894";"Elsevier B.V.";No;No;1,603;Q1;89;185;611;10271;6984;611;11,59;55,52;44,66;0;43;Netherlands;Western Europe;"Elsevier B.V.";"2014-2025";"Biomaterials (Q1); Food Science (Q1); Microbiology (medical) (Q1); Polymers and Plastics (Q1); Safety, Risk, Reliability and Quality (Q1)";"Agricultural and Biological Sciences; Engineering; Materials Science; Medicine"
15;19500157549;"Food Security";journal;"18764517, 18764525";"Springer Science and Business Media B.V.";No;No;1,599;Q1;86;87;286;6047;2092;280;6,95;69,51;45,99;5;80;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2009-2025";"Agronomy and Crop Science (Q1); Development (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Social Sciences"
16;21219;"Meat Science";journal;"03091740, 18734138";"Elsevier Ltd";No;No;1,584;Q1;205;195;782;11018;5672;774;6,70;56,50;43,57;0;20;United Kingdom;Western Europe;"Elsevier Ltd";"1977-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
17;21100286975;"Journal of Animal Science and Biotechnology";journal;"16749782, 20491891";"BioMed Central Ltd";Yes;No;1,583;Q1;82;165;422;11688;3198;422;6,60;70,84;40,21;2;31;United Kingdom;Western Europe;"BioMed Central Ltd";"2012-2025";"Animal Science and Zoology (Q1); Biochemistry (Q1); Biotechnology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
18;23182;"Food Reviews International";journal;"87559129, 15256103";"Taylor and Francis Ltd.";No;No;1,510;Q1;102;184;431;24596;4362;431;9,94;133,67;41,66;1;83;United States;Northern America;"Taylor and Francis Ltd.";"1985-2025";"Chemical Engineering (miscellaneous) (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Chemical Engineering"
19;20058;"Innovative Food Science and Emerging Technologies";journal;"14668564";"Elsevier B.V.";No;No;1,502;Q1;154;285;750;16911;6372;746;7,87;59,34;42,69;0;88;Netherlands;Western Europe;"Elsevier B.V.";"2000-2025";"Chemistry (miscellaneous) (Q1); Food Science (Q1); Industrial and Manufacturing Engineering (Q1)";"Agricultural and Biological Sciences; Chemistry; Engineering"
20;21100896855;"Food Chemistry: X";journal;"25901575";"Elsevier Ltd";Yes;No;1,489;Q1;45;984;896;47112;7977;891;8,74;47,88;45,75;0;106;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2025";"Analytical Chemistry (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Chemistry"
21;21100790818;"Antioxidants";journal;"20763921";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,484;Q1;133;1584;6636;134583;48944;6521;6,93;84,96;48,79;1;590;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2012-2025";"Biochemistry (Q1); Clinical Biochemistry (Q1); Food Science (Q1); Molecular Biology (Q1); Physiology (Q1); Cell Biology (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
22;20744;"LWT";journal;"10961127, 00236438";"Academic Press";Yes;No;1,480;Q1;187;1575;5139;75901;41892;5129;7,90;48,19;47,74;1;144;United States;Northern America;"Academic Press";"1973, 1984-1989, 1991-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
23;19700188323;"Nutrients";journal;"20726643";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,473;Q1;243;4413;15072;233278;85357;14659;5,08;52,86;55,20;9;2098;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2009-2025";"Food Science (Q1); Nutrition and Dietetics (Q1)";"Agricultural and Biological Sciences; Nursing"
24;21101152625;"Advanced Agrochem";journal;"27732371";"KeAi Communications Co.";Yes;No;1,450;Q1;15;48;60;2896;700;55;11,67;60,33;38,25;0;15;China;Asiatic Region;"KeAi Communications Co.";"2022-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Chemistry"
25;21101097033;"Journal of Future Foods";journal;"27725669";"KeAi Communications Co.";Yes;No;1,421;Q1;22;40;100;2645;930;100;8,11;66,13;43,48;0;11;China;Asiatic Region;"KeAi Communications Co.";"2021-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Food Science (Q1); Nutrition and Dietetics (Q1)";"Agricultural and Biological Sciences; Nursing"
26;21100854600;"Current Nutrition Reports";journal;"21613311";"Springer";No;No;1,410;Q1;51;69;166;6347;1006;166;5,74;91,99;59,04;1;51;United States;Northern America;"Springer";"2012-2025";"Food Science (Q1); Nutrition and Dietetics (Q1)";"Agricultural and Biological Sciences; Nursing"
27;21101022831;"Current Research in Food Science";journal;"26659271";"Elsevier B.V.";Yes;No;1,408;Q1;41;280;585;17213;5177;582;7,67;61,48;48,13;0;62;Netherlands;Western Europe;"Elsevier B.V.";"2019-2025";"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
28;21100906935;"Food Science and Human Wellness";journal;"22134530";"Tsinghua University Press";Yes;No;1,396;Q1;69;308;460;19407;3875;460;8,45;63,01;46,89;0;87;China;Asiatic Region;"Tsinghua University Press";"2012-2024";"Food Science (Q1)";"Agricultural and Biological Sciences"
29;21101092906;"Grain and Oil Science and Technology";journal;"25902598, 20964501";"KeAi Communications Co.";Yes;Yes;1,377;Q1;18;32;59;2087;531;59;9,13;65,22;40,00;0;6;China;Asiatic Region;"KeAi Communications Co.";"2021-2025";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Food Science (Q1); Insect Science (Q1)";"Agricultural and Biological Sciences; Chemical Engineering; Immunology and Microbiology"
30;21100873942;"International Journal of Food Contamination";journal;"21962804";"BioMed Central Ltd";Yes;No;1,377;Q1;25;0;17;0;149;14;10,17;0,00;0,00;0;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2014-2022";"Food Science (Q1); Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)";"Agricultural and Biological Sciences; Environmental Science; Medicine"
31;16132;"Postharvest Biology and Technology";journal;"09255214";"Elsevier B.V.";No;No;1,363;Q1;178;507;976;27089;8071;974;7,77;53,43;45,07;0;63;Netherlands;Western Europe;"Elsevier B.V.";"1991-2025";"Agronomy and Crop Science (Q1); Food Science (Q1); Horticulture (Q1)";"Agricultural and Biological Sciences"
32;11700154617;"Journal of the International Society of Sports Nutrition";journal;"15502783";"Taylor and Francis Ltd.";Yes;No;1,316;Q1;74;65;166;3888;852;165;3,70;59,82;35,13;0;12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2025";"Food Science (Q1); Nutrition and Dietetics (Q1); Sports Science (Q1)";"Agricultural and Biological Sciences; Health Professions; Nursing"
33;17544;"International Journal of Biological Macromolecules";journal;"01418130, 18790003";"Elsevier B.V.";No;No;1,285;Q1;219;9518;10125;640786;98326;10124;9,29;67,32;43,80;1;2615;Netherlands;Western Europe;"Elsevier B.V.";"1979-2025";"Biochemistry (Q1); Biomaterials (Q1); Food Science (Q1); Molecular Biology (Q2); Structural Biology (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Materials Science"
34;21100941606;"npj Science of Food";journal;"23968370";"Nature Publishing Group";Yes;No;1,268;Q1;33;111;149;7037;1119;146;7,53;63,40;43,92;0;37;United Kingdom;Western Europe;"Nature Publishing Group";"2017-2025";"Food Science (Q1); Public Health, Environmental and Occupational Health (Q1)";"Agricultural and Biological Sciences; Medicine"
35;22577;"Food Control";journal;"09567135";"Elsevier B.V.";No;No;1,265;Q1;174;614;2221;35656;16637;2207;7,50;58,07;47,78;2;141;Netherlands;Western Europe;"Elsevier B.V.";"1990-2025";"Biotechnology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
36;21101251266;"Food Innovation and Advances";journal;"2836774X";"Maximum Academic Press";Yes;No;1,256;Q1;11;42;33;2579;208;32;6,30;61,40;51,20;0;6;United States;Northern America;"Maximum Academic Press";"2022-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
37;32795;"Journal of Dairy Science";journal;"15253198, 00220302";"Elsevier Inc.";Yes;No;1,250;Q1;241;826;2419;46241;10943;2412;4,43;55,98;44,27;7;154;United States;Northern America;"Elsevier Inc.";"1917-2025";"Animal Science and Zoology (Q1); Food Science (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
38;21101087138;"Food Frontiers";journal;"26438429";"John Wiley and Sons Inc";Yes;No;1,243;Q1;32;178;217;16388;1815;212;7,23;92,07;46,37;0;65;United States;Northern America;"John Wiley and Sons Inc";"2020-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
39;21101060444;"Future Foods";journal;"26668335";"Elsevier B.V.";Yes;No;1,237;Q1;34;231;256;17406;2210;251;8,33;75,35;47,45;1;82;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
40;19700188146;"Food and Function";journal;"20426496, 2042650X";"Royal Society of Chemistry";No;No;1,194;Q1;131;816;2762;51851;17752;2757;5,77;63,54;50,47;0;247;United Kingdom;Western Europe;"Royal Society of Chemistry";"2010-2025";"Food Science (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Medicine"
41;21100285057;"Food Structure";journal;"22133291";"Elsevier B.V.";No;No;1,192;Q1;44;35;157;1767;1008;153;5,89;50,49;47,67;0;2;Netherlands;Western Europe;"Elsevier B.V.";"2014-2025";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Chemical Engineering; Immunology and Microbiology"
42;14200154736;"Food and Bioprocess Technology";journal;"19355149, 19355130";"Springer";No;No;1,179;Q1;127;412;554;29051;4278;551;7,55;70,51;45,72;0;81;United States;Northern America;"Springer";"2008-2025";"Food Science (Q1); Industrial and Manufacturing Engineering (Q1); Process Chemistry and Technology (Q1); Safety, Risk, Reliability and Quality (Q1)";"Agricultural and Biological Sciences; Chemical Engineering; Engineering"
43;21100198495;"Journal of the Academy of Nutrition and Dietetics";journal;"22122672";"Elsevier B.V.";No;No;1,166;Q1;202;159;553;7630;1798;483;2,93;47,99;75,69;4;83;United States;Northern America;"Elsevier B.V.";"2012-2025";"Food Science (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)";"Agricultural and Biological Sciences; Medicine; Nursing"
44;19760;"International Journal of Food Microbiology";journal;"18793460, 01681605";"Elsevier B.V.";No;No;1,163;Q1;227;315;826;17853;5139;825;5,88;56,68;49,58;3;80;Netherlands;Western Europe;"Elsevier B.V.";"1984-2025";"Food Science (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1); Safety, Risk, Reliability and Quality (Q1)";"Agricultural and Biological Sciences; Engineering; Immunology and Microbiology; Medicine"
45;20586;"Journal of Food Engineering";journal;"02608774";"Elsevier Ltd";No;No;1,159;Q1;228;350;913;15941;6360;902;7,06;45,55;39,66;0;36;United Kingdom;Western Europe;"Elsevier Ltd";"1982-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
46;13239;"Molecular Nutrition and Food Research";journal;"16134133, 16134125";"Wiley-VCH Verlag";No;No;1,143;Q1;170;290;692;18231;3540;685;4,70;62,87;49,81;0;112;Germany;Western Europe;"Wiley-VCH Verlag";"2004-2025";"Biotechnology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
47;23161;"Food Quality and Preference";journal;"09503293";"Elsevier Ltd";No;No;1,139;Q1;161;173;789;10506;4583;771;5,31;60,73;59,37;1;42;United Kingdom;Western Europe;"Elsevier Ltd";"1988-1991, 1993-2025";"Food Science (Q1); Nutrition and Dietetics (Q1)";"Agricultural and Biological Sciences; Nursing"
48;21100913479;"Frontiers in Nutrition";journal;"2296861X";"Frontiers Media SA";Yes;No;1,115;Q1;94;1975;6512;108181;34265;6166;5,03;54,78;48,94;4;963;Switzerland;Western Europe;"Frontiers Media SA";"2014-2025";"Food Science (Q1); Nutrition and Dietetics (Q1); Endocrinology, Diabetes and Metabolism (Q2)";"Agricultural and Biological Sciences; Medicine; Nursing"
49;21100203903;"Journal of Integrative Agriculture";journal;"20953119";"KeAi Publishing Communications Ltd.";Yes;Yes;1,113;Q1;92;308;864;17429;4847;847;4,74;56,59;40,46;0;99;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2012-2024";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Biochemistry (Q1); Ecology (Q1); Food Animals (Q1); Food Science (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Veterinary"
50;21100899501;"EFSA Journal";journal;"18314732";"Wiley-Blackwell Publishing Ltd";Yes;Yes;1,111;Q1;159;440;1437;18612;4932;1391;3,22;42,30;52,37;112;69;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2003-2025";"Animal Science and Zoology (Q1); Food Science (Q1); Parasitology (Q1); Plant Science (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2)";"Agricultural and Biological Sciences; Immunology and Microbiology; Veterinary"
51;21100255550;"Food Bioscience";journal;"22124306, 22124292";"Elsevier Ltd";No;No;1,108;Q1;77;2111;2455;128752;16519;2450;6,41;60,99;47,45;1;446;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2025";"Biochemistry (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
52;21100775662;"Food and Energy Security";journal;"20483694";"Wiley-Blackwell Publishing Ltd";Yes;No;1,107;Q1;49;95;218;7170;1298;214;5,10;75,47;36,00;0;71;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2012-2025";"Agronomy and Crop Science (Q1); Food Science (Q1); Forestry (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Agricultural and Biological Sciences; Energy"
53;19618;"Applied and Environmental Microbiology";journal;"00992240, 10985336";"American Society for Microbiology";No;No;1,106;Q1;379;526;1553;32995;6529;1552;3,82;62,73;43,89;0;147;United States;Northern America;"American Society for Microbiology";"1976-2025";"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Ecology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Immunology and Microbiology"
54;21100782678;"Agriculture and Food Security";journal;"20487010";"BioMed Central Ltd";Yes;No;1,084;Q1;56;62;172;4322;1320;169;6,37;69,71;36,10;2;60;United Kingdom;Western Europe;"BioMed Central Ltd";"2012-2024";"Agronomy and Crop Science (Q1); Ecology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Environmental Science"
55;21101092012;"Applied Food Research";journal;"27725022";"Elsevier B.V.";Yes;No;1,073;Q1;27;272;352;15972;2631;352;7,68;58,72;47,43;0;72;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
56;21100924771;"Natural Products and Bioprospecting";journal;"21922209, 21922195";"Springer Singapore";Yes;Yes;1,067;Q1;41;60;145;4716;823;141;5,06;78,60;41,55;0;27;Singapore;Asiatic Region;"Springer Singapore";"2011-2025";"Analytical Chemistry (Q1); Food Science (Q1); Organic Chemistry (Q1); Pharmacology (Q1); Plant Science (Q1); Toxicology (Q1); Biochemistry (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
57;19717;"Food Microbiology";journal;"07400020, 10959998";"Academic Press";No;No;1,060;Q1;152;188;569;11119;3185;568;5,30;59,14;47,67;2;34;United States;Northern America;"Academic Press";"1984-2025";"Food Science (Q1); Microbiology (Q2)";"Agricultural and Biological Sciences; Immunology and Microbiology"
58;21100794828;"Chemical and Biological Technologies in Agriculture";journal;"21965641";"Springer Science and Business Media Deutschland GmbH";Yes;No;1,048;Q1;48;190;307;12234;2141;306;5,81;64,39;40,12;0;74;Switzerland;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2014-2025";"Agronomy and Crop Science (Q1); Biotechnology (Q1); Food Science (Q1); Biochemistry (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
59;21101066155;"Food Chemistry: Molecular Sciences";journal;"26665662";"Elsevier B.V.";Yes;No;1,041;Q1;21;41;163;2622;1159;160;5,63;63,95;42,74;0;6;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Food Science (Q1); Molecular Biology (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
60;21100869488;"Bioresources and Bioprocessing";journal;"21974365";"Springer";Yes;No;1,039;Q1;57;108;356;5956;2209;356;5,73;55,15;39,17;0;40;Germany;Western Europe;"Springer";"2014-2025";"Biomedical Engineering (Q1); Biotechnology (Q1); Food Science (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Energy; Engineering"
61;61490;"Biosystems Engineering";journal;"15375129, 15375110";"Academic Press";No;No;1,033;Q1;142;200;646;8930;4146;645;6,12;44,65;27,32;0;65;United States;Northern America;"Academic Press";"2002-2025";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Control and Systems Engineering (Q1); Food Science (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Engineering"
62;21101075728;"Food Production, Processing and Nutrition";journal;"26618974";"BioMed Central Ltd";Yes;Yes;1,024;Q1;24;99;128;6811;868;128;6,22;68,80;45,60;1;38;United Kingdom;Western Europe;"BioMed Central Ltd";"2019-2025";"Food Science (Q1); Nutrition and Dietetics (Q1); Public Health, Environmental and Occupational Health (Q1)";"Agricultural and Biological Sciences; Medicine; Nursing"
63;21100898636;"Foods";journal;"23048158";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,021;Q1;123;4178;11748;256505;71291;11520;5,56;61,39;51,12;4;988;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2012-2025";"Food Science (Q1); Health Professions (miscellaneous) (Q1); Health (social science) (Q1); Plant Science (Q1); Microbiology (Q2)";"Agricultural and Biological Sciences; Health Professions; Immunology and Microbiology; Social Sciences"
64;21101044948;"Journal of Agriculture and Food Research";journal;"26661543";"Elsevier B.V.";Yes;No;0,996;Q1;45;625;803;44358;6177;803;7,88;70,97;36,68;3;325;Netherlands;Western Europe;"Elsevier B.V.";"2019-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Agronomy and Crop Science (Q1); Food Science (Q1)";"Agricultural and Biological Sciences"
65;21100445643;"Food and Waterborne Parasitology";journal;"24056766";"Elsevier Inc.";Yes;No;0,936;Q1;28;24;81;1163;277;81;3,71;48,46;45,71;0;7;United States;Northern America;"Elsevier Inc.";"2015-2025";"Food Science (Q1); Parasitology (Q1); Epidemiology (Q2)";"Agricultural and Biological Sciences; Immunology and Microbiology; Medicine"
66;21101142757;"ES Food and Agroforestry";journal;"26877309, 26877295";"Engineered Science Publisher";No;No;0,928;Q1;20;34;63;2422;472;57;8,00;71,24;41,92;0;18;United States;Northern America;"Engineered Science Publisher";"2020-2025";"Agronomy and Crop Science (Q1); Food Science (Q1); Forestry (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences"
67;21101058922;"Legume Science";journal;"26396181";"John Wiley and Sons Inc";Yes;No;0,928;Q1;29;59;132;3542;756;128;5,78;60,03;35,44;0;26;United States;Northern America;"John Wiley and Sons Inc";"2019-2025";"Food Science (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences"
68;21101136300;"Food Chemistry Advances";journal;"2772753X";"Elsevier Ltd";Yes;No;0,900;Q1;26;291;536;15996;3164;536;5,90;54,97;43,70;0;63;United Kingdom;Western Europe;"Elsevier Ltd";"2022-2025";"Food Science (Q1); Organic Chemistry (Q1)";"Agricultural and Biological Sciences; Chemistry"
69;21101092738;"Food Hydrocolloids for Health";journal;"26670259";"Elsevier B.V.";Yes;No;0,883;Q1;21;18;157;1316;921;154;5,58;73,11;43,30;0;4;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Food Science (Q1); Pharmaceutical Science (Q1); Gastroenterology (Q2); Nutrition and Dietetics (Q2)";"Agricultural and Biological Sciences; Medicine; Nursing; Pharmacology, Toxicology and Pharmaceutics"
70;21101114151;"eFood";journal;"26663066";"John Wiley and Sons Inc";Yes;No;0,851;Q1;24;79;134;5183;751;122;5,38;65,61;44,50;0;27;United States;Northern America;"John Wiley and Sons Inc";"2020-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
71;21100464557;"Food Science and Nutrition";journal;"20487177";"John Wiley and Sons Ltd";Yes;No;0,849;Q1;74;836;1666;50049;8692;1662;4,67;59,87;45,63;0;261;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2013-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
72;51565;"International Dairy Journal";journal;"09586946";"Elsevier B.V.";No;No;0,849;Q1;164;193;656;10083;2729;656;4,03;52,24;49,61;1;12;Netherlands;Western Europe;"Elsevier B.V.";"1991-2025";"Food Science (Q1); Applied Microbiology and Biotechnology (Q2)";"Agricultural and Biological Sciences; Immunology and Microbiology"
73;21100817122;"Agricultural and Food Economics";journal;"21937532";"Springer Science and Business Media Deutschland GmbH";Yes;No;0,847;Q1;38;49;116;3929;589;108;4,60;80,18;48,48;3;40;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2013-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Food Science (Q1); Economics and Econometrics (Q2)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
74;34814;"Journal of Cereal Science";journal;"10959963, 07335210";"Academic Press";No;No;0,845;Q1;145;199;542;6647;2499;537;4,16;33,40;50,60;0;22;United States;Northern America;"Academic Press";"1983-2025";"Food Science (Q1); Biochemistry (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
75;20582;"Journal of Food Composition and Analysis";journal;"10960481, 08891575";"Academic Press Inc.";No;No;0,844;Q1;148;1005;1758;49857;9343;1754;5,28;49,61;44,75;0;179;United States;Northern America;"Academic Press Inc.";"1987-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
